WaveLength,SP_53_RawData,SP_54_RawData,SP_55_RawData,SP_56_RawData,SP_57_RawData,SP_58_RawData,SP_59_RawData,SP_60_RawData,SP_61_RawData,SP_62_RawData,SP_63_RawData,SP_64_RawData,dark_RawData
399.71,2198.41,2195.30,2183.48,2177.92,2184.90,2185.23,2186.16,2206.36,2188.15,2182.13,2187.79,2188.02,1527.00
400.05,2207.46,2204.48,2192.48,2186.85,2193.49,2194.34,2195.13,2215.21,2197.10,2190.98,2196.43,2196.93,1527.05
400.38,2216.72,2213.67,2201.79,2195.52,2202.00,2203.38,2203.80,2223.77,2206.25,2199.70,2205.30,2205.26,1527.25
400.72,2225.30,2222.69,2211.03,2204.49,2211.05,2212.48,2212.38,2233.38,2215.18,2208.30,2214.00,2214.08,1527.25
401.06,2234.00,2231.46,2220.13,2212.95,2220.02,2221.54,2221.00,2242.57,2223.87,2217.00,2222.85,2223.20,1527.66
401.40,2242.66,2240.26,2228.85,2222.39,2228.93,2230.92,2230.03,2251.97,2232.66,2225.84,2231.66,2232.08,1527.66
401.73,2252.05,2249.11,2238.36,2231.23,2238.36,2239.95,2239.02,2261.15,2242.57,2234.41,2240.49,2241.57,1527.93
402.07,2260.51,2257.80,2246.79,2240.25,2246.93,2248.87,2247.97,2270.52,2251.30,2243.33,2248.70,2250.49,1527.84
402.41,2269.57,2266.43,2256.07,2249.46,2255.85,2257.95,2256.79,2279.23,2260.51,2251.82,2257.49,2259.15,1528.23
402.75,2279.13,2275.67,2265.20,2258.67,2265.20,2267.28,2265.46,2288.23,2269.16,2260.82,2267.33,2268.31,1528.66
403.08,2287.89,2284.72,2274.39,2267.89,2274.46,2276.48,2274.46,2297.87,2279.03,2269.25,2276.43,2277.36,1528.57
403.42,2297.03,2294.02,2283.31,2276.54,2282.79,2285.56,2283.00,2307.38,2288.34,2277.87,2285.69,2286.59,1528.49
403.76,2306.52,2303.66,2293.26,2285.51,2291.59,2294.52,2292.20,2316.46,2297.82,2286.52,2294.54,2296.15,1528.62
404.09,2316.28,2312.89,2302.64,2294.66,2300.46,2303.75,2301.79,2325.80,2306.85,2295.59,2303.49,2305.70,1528.80
404.43,2325.11,2321.80,2311.56,2303.77,2309.08,2313.20,2310.72,2334.85,2316.41,2304.93,2311.90,2314.67,1528.69
404.77,2334.11,2331.25,2321.18,2312.77,2317.93,2322.82,2320.05,2344.82,2327.05,2314.02,2320.93,2323.70,1529.02
405.11,2343.41,2340.89,2331.25,2321.89,2327.33,2331.97,2328.92,2355.05,2336.46,2323.61,2330.30,2332.75,1529.48
405.44,2353.28,2350.41,2340.64,2330.98,2336.75,2341.54,2337.95,2365.33,2346.38,2333.16,2339.38,2341.49,1529.56
405.78,2362.75,2360.51,2350.23,2340.74,2346.87,2351.56,2347.52,2374.87,2355.79,2342.38,2348.13,2350.62,1529.77
406.12,2372.39,2370.18,2359.69,2350.28,2356.54,2360.85,2356.98,2384.75,2365.08,2351.98,2358.28,2360.02,1529.77
