element #,waveln. At elem cent.
1,345.5872667
2,346.1745335
3,346.7618002
4,347.349067
5,347.9363337
6,348.5236004
7,349.1108672
8,349.6981339
9,350.2854007
10,350.8726674
11,351.4599341
12,352.0472009
13,352.6344676
14,353.2217344
15,353.8090011
16,354.3962678
17,354.9835346
18,355.5708013
19,356.1580681
20,356.7453348
21,357.3326015
22,357.9198683
23,358.507135
24,359.0944018
25,359.6816685
26,360.2689352
27,360.856202
28,361.4434687
29,362.0307355
30,362.6180022
31,363.2052689
32,363.7925357
33,364.3798024
34,364.9670692
35,365.5543359
36,366.1416026
37,366.7288694
38,367.3161361
39,367.9034029
40,368.4906696
41,369.0779363
42,369.6652031
43,370.2524698
44,370.8397366
45,371.4270033
46,372.01427
47,372.6015368
48,373.1888035
49,373.7760703
50,374.363337
51,374.9506037
52,375.5378705
53,376.1251372
54,376.712404
55,377.2996707
56,377.8869374
57,378.4742042
58,379.0614709
59,379.6487377
60,380.2360044
61,380.8232711
62,381.4105379
63,381.9978046
64,382.5850714
65,383.1723381
66,383.7596048
67,384.3468716
68,384.9341383
69,385.521405
70,386.1086718
71,386.6959385
72,387.2832053
73,387.870472
74,388.4577387
75,389.0450055
76,389.6322722
77,390.219539
78,390.8068057
79,391.3940724
80,391.9813392
81,392.5686059
82,393.1558727
83,393.7431394
84,394.3304061
85,394.9176729
86,395.5049396
87,396.0922064
88,396.6794731
89,397.2667398
90,397.8540066
91,398.4412733
92,399.0285401
93,399.6158068
94,400.2030735
95,400.7903403
96,401.377607
97,401.9648738
98,402.5521405
99,403.1394072
100,403.726674
101,404.3139407
102,404.9012075
103,405.4884742
104,406.0757409
105,406.6630077
106,407.2502744
107,407.8375412
108,408.4248079
109,409.0120746
110,409.5993414
111,410.1866081
112,410.7738749
113,411.3611416
114,411.9484083
115,412.5356751
116,413.1229418
117,413.7102086
118,414.2974753
119,414.884742
120,415.4720088
121,416.0592755
122,416.6465423
123,417.233809
124,417.8210757
125,418.4083425
126,418.9956092
127,419.582876
128,420.1701427
129,420.7574094
130,421.3446762
131,421.9319429
132,422.5192097
133,423.1064764
134,423.6937431
135,424.2810099
136,424.8682766
137,425.4555434
138,426.0428101
139,426.6300768
140,427.2173436
141,427.8046103
142,428.3918771
143,428.9791438
144,429.5664105
145,430.1536773
146,430.740944
147,431.3282108
148,431.9154775
149,432.5027442
150,433.090011
151,433.6772777
152,434.2645445
153,434.8518112
154,435.4390779
155,436.0263447
156,436.6136114
157,437.2008782
158,437.7881449
159,438.3754116
160,438.9626784
161,439.5499451
162,440.1372119
163,440.7244786
164,441.3117453
165,441.8990121
166,442.4862788
167,443.0735456
168,443.6608123
169,444.248079
170,444.8353458
171,445.4226125
172,446.0098793
173,446.597146
174,447.1844127
175,447.7716795
176,448.3589462
177,448.946213
178,449.5334797
179,450.1207464
180,450.7080132
181,451.2952799
182,451.8825467
183,452.4698134
184,453.0570801
185,453.6443469
186,454.2316136
187,454.8188804
188,455.4061471
189,455.9934138
190,456.5806806
191,457.1679473
192,457.7552141
193,458.3424808
194,458.9297475
195,459.5170143
196,460.104281
197,460.6915477
198,461.2788145
199,461.8660812
200,462.453348
201,463.0406147
202,463.6278814
203,464.2151482
204,464.8024149
205,465.3896817
206,465.9769484
207,466.5642151
208,467.1514819
209,467.7387486
210,468.3260154
211,468.9132821
212,469.5005488
213,470.0878156
214,470.6750823
215,471.2623491
216,471.8496158
217,472.4368825
218,473.0241493
219,473.611416
220,474.1986828
221,474.7859495
222,475.3732162
223,475.960483
224,476.5477497
225,477.1350165
226,477.7222832
227,478.3095499
228,478.8968167
229,479.4840834
230,480.0713502
231,480.6586169
232,481.2458836
233,481.8331504
234,482.4204171
235,483.0076839
236,483.5949506
237,484.1822173
238,484.7694841
239,485.3567508
240,485.9440176
241,486.5312843
242,487.118551
243,487.7058178
244,488.2930845
245,488.8803513
246,489.467618
247,490.0548847
248,490.6421515
249,491.2294182
250,491.816685
251,492.4039517
252,492.9912184
253,493.5784852
254,494.1657519
255,494.7530187
256,495.3402854
257,495.9275521
258,496.5148189
259,497.1020856
260,497.6893524
261,498.2766191
262,498.8638858
263,499.4511526
264,500.0384193
265,500.6256861
266,501.2129528
267,501.8002195
268,502.3874863
269,502.974753
270,503.5620198
271,504.1492865
272,504.7365532
273,505.32382
274,505.9110867
275,506.4983535
276,507.0856202
277,507.6728869
278,508.2601537
279,508.8474204
280,509.4346872
281,510.0219539
282,510.6092206
283,511.1964874
284,511.7837541
285,512.3710209
286,512.9582876
287,513.5455543
288,514.1328211
289,514.7200878
290,515.3073546
291,515.8946213
292,516.481888
293,517.0691548
294,517.6564215
295,518.2436883
296,518.830955
297,519.4182217
298,520.0054885
299,520.5927552
300,521.180022
301,521.7672887
302,522.3545554
303,522.9418222
304,523.5290889
305,524.1163557
306,524.7036224
307,525.2908891
308,525.8781559
309,526.4654226
310,527.0526894
311,527.6399561
312,528.2272228
313,528.8144896
314,529.4017563
315,529.9890231
316,530.5762898
317,531.1635565
318,531.7508233
319,532.33809
320,532.9253568
321,533.5126235
322,534.0998902
323,534.687157
324,535.2744237
325,535.8616905
326,536.4489572
327,537.0362239
328,537.6234907
329,538.2107574
330,538.7980241
331,539.3852909
332,539.9725576
333,540.5598244
334,541.1470911
335,541.7343578
336,542.3216246
337,542.9088913
338,543.4961581
339,544.0834248
340,544.6706915
341,545.2579583
342,545.845225
343,546.4324918
344,547.0197585
345,547.6070252
346,548.194292
347,548.7815587
348,549.3688255
349,549.9560922
350,550.5433589
351,551.1306257
352,551.7178924
353,552.3051592
354,552.8924259
355,553.4796926
356,554.0669594
357,554.6542261
358,555.2414929
359,555.8287596
360,556.4160263
361,557.0032931
362,557.5905598
363,558.1778266
364,558.7650933
365,559.35236
366,559.9396268
367,560.5268935
368,561.1141603
369,561.701427
370,562.2886937
371,562.8759605
372,563.4632272
373,564.050494
374,564.6377607
375,565.2250274
376,565.8122942
377,566.3995609
378,566.9868277
379,567.5740944
380,568.1613611
381,568.7486279
382,569.3358946
383,569.9231614
384,570.5104281
385,571.0976948
386,571.6849616
387,572.2722283
388,572.8594951
389,573.4467618
390,574.0340285
391,574.6212953
392,575.208562
393,575.7958288
394,576.3830955
395,576.9703622
396,577.557629
397,578.1448957
398,578.7321625
399,579.3194292
400,579.9066959
401,580.4939627
402,581.0812294
403,581.6684962
404,582.2557629
405,582.8430296
406,583.4302964
407,584.0175631
408,584.6048299
409,585.1920966
410,585.7793633
411,586.3666301
412,586.9538968
413,587.5411636
414,588.1284303
415,588.715697
416,589.3029638
417,589.8902305
418,590.4774973
419,591.064764
420,591.6520307
421,592.2392975
422,592.8265642
423,593.413831
424,594.0010977
425,594.5883644
426,595.1756312
427,595.7628979
428,596.3501647
429,596.9374314
430,597.5246981
431,598.1119649
432,598.6992316
433,599.2864984
434,599.8737651
435,600.4610318
436,601.0482986
437,601.6355653
438,602.2228321
439,602.8100988
440,603.3973655
441,603.9846323
442,604.571899
443,605.1591658
444,605.7464325
445,606.3336992
446,606.920966
447,607.5082327
448,608.0954995
449,608.6827662
450,609.2700329
451,609.8572997
452,610.4445664
453,611.0318332
454,611.6190999
455,612.2063666
456,612.7936334
457,613.3809001
458,613.9681668
459,614.5554336
460,615.1427003
461,615.7299671
462,616.3172338
463,616.9045005
464,617.4917673
465,618.079034
466,618.6663008
467,619.2535675
468,619.8408342
469,620.428101
470,621.0153677
471,621.6026345
472,622.1899012
473,622.7771679
474,623.3644347
475,623.9517014
476,624.5389682
477,625.1262349
478,625.7135016
479,626.3007684
480,626.8880351
481,627.4753019
482,628.0625686
483,628.6498353
484,629.2371021
485,629.8243688
486,630.4116356
487,630.9989023
488,631.586169
489,632.1734358
490,632.7607025
491,633.3479693
492,633.935236
493,634.5225027
494,635.1097695
495,635.6970362
496,636.284303
497,636.8715697
498,637.4588364
499,638.0461032
500,638.6333699
501,639.2206367
502,639.8079034
503,640.3951701
504,640.9824369
505,641.5697036
506,642.1569704
507,642.7442371
508,643.3315038
509,643.9187706
510,644.5060373
511,645.0933041
512,645.6805708
513,646.2678375
514,646.8551043
515,647.442371
516,648.0296378
517,648.6169045
518,649.2041712
519,649.791438
520,650.3787047
521,650.9659715
522,651.5532382
523,652.1405049
524,652.7277717
525,653.3150384
526,653.9023052
527,654.4895719
528,655.0768386
529,655.6641054
530,656.2513721
531,656.8386389
532,657.4259056
533,658.0131723
534,658.6004391
535,659.1877058
536,659.7749726
537,660.3622393
538,660.949506
539,661.5367728
540,662.1240395
541,662.7113063
542,663.298573
543,663.8858397
544,664.4731065
545,665.0603732
546,665.64764
547,666.2349067
548,666.8221734
549,667.4094402
550,667.9967069
551,668.5839737
552,669.1712404
553,669.7585071
554,670.3457739
555,670.9330406
556,671.5203074
557,672.1075741
558,672.6948408
559,673.2821076
560,673.8693743
